,name,adresse,plz,ort,geometry
0,Gesundheitszentrum für das Alter Entlisberg,Paradiesstrasse 45,8038,Zürich,POINT (8.526801000000001 47.334596)
1,Gesundheitszentrum für das Alter Gehrenholz,Sieberstrasse 22,8055,Zürich,POINT (8.510683 47.364134)
2,Pflegewohngruppe LieniHof,Heinrich-Federer-Strasse 22,8038,Zürich,POINT (8.531063 47.335941)
3,Pflegewohngruppe Köschenrüti II,Traktorenstrasse 4,8052,Zürich,POINT (8.538130000000001 47.429073)
4,Pflegewohngruppe Wolfswinkel,Wolfswinkel 14,8046,Zürich,POINT (8.514377 47.42389)
5,Fachstelle für Freiwilligenarbeit,Eggbühlstrasse 23,8050,Zürich,POINT (8.542501 47.41615)
6,Pflegewohngruppe Sunnige Hof,Else-Züblin-Strasse 48,8047,Zürich,POINT (8.487389 47.377319)
7,Gesundheitszentrum für das Alter Käferberg,Emil-Klöti-Strasse 25,8037,Zürich,POINT (8.515544999999999 47.399071)
8,Gesundheitszentrum für das Alter Mattenhof,Helen-Keller-Strasse 12,8051,Zürich,POINT (8.594018 47.399914)
9,Gesundheitszentrum für das Alter Riesbach,Witellikerstrasse 19,8008,Zürich,POINT (8.576563 47.352422)
10,Pflegewohngruppe Felsenrain,Neunbrunnenstrasse 8,8050,Zürich,POINT (8.544200999999999 47.417609)
11,Pflegewohngruppe Brunnenpark I,Künzlistrasse 15a (erst.),8057,Zürich,POINT (8.533747999999999 47.405502)
12,Pflegewohngruppe Brunnenpark II,Künzlistrasse 15a (erst.),8057,Zürich,POINT (8.533747999999999 47.405502)
13,Gesundheitszentrum für das Alter Witikon,Kienastenwiesweg 2,8053,Zürich,POINT (8.601796999999999 47.355094)
14,Pflegewohngruppe Grünmatt,Grünmattstrasse 4,8055,Zürich,POINT (8.503486000000001 47.362411)
15,Pflegewohngruppe Hausäcker,Hausäcker 4,8048,Zürich,POINT (8.477389000000001 47.390129)
16,Pflegewohngruppe Köschenrüti I,Traktorenstrasse 4,8052,Zürich,POINT (8.538130000000001 47.429073)
17,Pflegewohngruppen,Räffelstrasse 12,8045,Zürich,POINT (8.514427 47.363362)
18,Pflegewohngruppe Triemlipark I,Schweighofstrasse 425 (freig.),8055,Zürich,POINT (8.50132 47.368017)
19,Pflegewohngruppe Triemlipark II,Birmensdorferstrasse 437 (erst.),8055,Zürich,POINT (8.500722 47.367906)
21,Hotel Spirgarten,Lindenplatz 5,8048,Zürich,POINT (8.485535 47.387428)
22,"Online Veranstaltung, Gesundheitszentren für das Alter",Eggbühlstrasse 23,8050,Zürich,POINT (8.542501 47.41615)
23,Gesundheitszentrum für das Alter Bachwiesen,Flurstrasse 130,8047,Zürich,POINT (8.487170000000001 47.378266)
24,Gesundheitszentrum für das Alter Bombach,Limmattalstrasse 371,8049,Zürich,POINT (8.483613 47.404222)
